NFT #;Type;Hotel;Place;Experience;Night;Surprise
0;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
1;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
2;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
3;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
4;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
5;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
6;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
7;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
8;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
9;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
10;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
11;Silver - Very rare; LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;5;Yes
12;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
13;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
14;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
15;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
16;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
17;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
18;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
19;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
20;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
21;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
22;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
23;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
24;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
25;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
26;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
27;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
28;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
29;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
30;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
31;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
32;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
33;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
34;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
35;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
36;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
37;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
38;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
39;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
40;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
41;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
42;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
43;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
44;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
45;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
46;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
47;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
48;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
49;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
50;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
51;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
52;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
53;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
54;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
55;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
56;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
57;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
58;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
